iter	Passed	Remaining
0	80	80190
1	109	54543
2	135	45115
3	165	41212
4	185	36984
5	205	33989
6	225	32022
7	248	30830
8	270	29836
9	292	28942
10	314	28309
11	336	27676
12	358	27201
13	379	26702
14	404	26566
15	425	26182
16	447	25892
17	466	25453
18	488	25228
19	510	25027
20	531	24772
21	554	24629
22	577	24528
23	597	24310
24	618	24137
25	640	23978
26	659	23778
27	687	23857
28	710	23785
29	731	23650
30	754	23583
31	774	23416
32	796	23331
33	820	23321
34	857	23640
35	898	24060
36	918	23912
37	939	23783
38	962	23710
39	982	23588
40	1004	23502
41	1026	23405
42	1045	23277
43	1075	23365
44	1094	23217
45	1114	23107
46	1134	23007
47	1156	22928
48	1176	22834
49	1200	22816
50	1222	22752
51	1244	22691
52	1267	22648
53	1289	22598
54	1310	22518
55	1330	22436
56	1355	22421
57	1375	22342
58	1397	22283
59	1417	22214
60	1439	22163
61	1461	22108
62	1481	22036
63	1508	22057
64	1535	22085
65	1554	21997
66	1577	21961
67	1598	21908
68	1622	21896
69	1644	21852
70	1667	21820
71	1689	21780
72	1711	21729
73	1731	21664
74	1756	21668
75	1779	21628
76	1800	21578
77	1822	21541
78	1846	21523
79	1868	21484
80	1888	21422
81	1910	21387
82	1932	21354
83	1956	21331
84	1977	21282
85	2000	21258
86	2021	21215
87	2043	21173
88	2063	21119
89	2085	21082
90	2107	21052
91	2129	21021
92	2151	20983
93	2172	20934
94	2193	20891
95	2213	20845
96	2234	20805
97	2255	20760
98	2277	20730
99	2298	20686
100	2320	20653
101	2348	20674
102	2371	20651
103	2401	20687
104	2422	20646
105	2442	20598
106	2465	20576
107	2488	20554
108	2510	20524
109	2533	20494
110	2554	20459
111	2575	20421
112	2595	20369
113	2615	20324
114	2637	20296
115	2659	20264
116	2680	20228
117	2704	20213
118	2725	20174
119	2742	20112
120	2769	20117
121	2803	20175
122	2828	20170
123	2849	20133
124	2872	20109
125	2892	20061
126	2913	20029
127	2934	19989
128	2954	19950
129	2974	19907
130	2995	19871
